image_url,tweet,label
train\Fog\foggy-001.jpg,The traffic road has low visibility due to dense fog. The air quality is poor.,0
train\Fog\foggy-002.jpg,"The visibility is low due to the presence of suspended particles in the air. The road conditions are clear, and vehicles are driving normally. The sky is covered by dense fog, creating a hazy atmosphere.",0
train\Fog\foggy-003.jpg,"The traffic road has low visibility due to fog. The air appears humid, and the road looks slippery. The sky is covered with fog, making the light soft and hazy.",0
train\Fog\foggy-004.jpg,"The traffic road is wet, likely due to recent rain. Visibility is low, possibly from the rain and road glare. The sky's condition is unclear, but the environment appears overcast.",0
train\Fog\foggy-006.jpg,"The traffic road has low visibility due to fog. The road surface is clear, and the sky is obscured by fog.",0
train\Fog\foggy-007.jpg,"The traffic road has low visibility due to fog. The distant vehicles and signs are blurred. The road condition is good, with no visible water or potholes. The sky is obscured by fog.",0
train\Fog\foggy-008.jpg,"The traffic road has low visibility due to fog. The sky is obscured by the dense fog, and the road surface appears clear.",0
train\Fog\foggy-009.jpg,"The traffic road is obscured by low visibility due to dense fog. The air appears moist, and the road surface is clear with no visible wetness. The sky is covered in fog, creating a dimly lit environment.",0
train\Fog\foggy-010.jpg,"The traffic road has low visibility due to foggy weather. The wet road reflects the vehicle lights, showing some water accumulation. The sky is overcast, indicating possible precipitation or mist.",0
train\Fog\foggy-011.jpg,The traffic road has low visibility due to fog.,0
train\Fog\foggy-012.jpg,"The traffic road has low visibility due to fog. The surface is wet and slippery, with possible puddles or debris. The sky is covered by dense fog, making the surroundings dim.",0
train\Fog\foggy-014.jpg,"The traffic road has low visibility, likely due to air pollution or mist. The sky is unclear, and the road appears somewhat blurry.",0
train\Fog\foggy-015.jpg,"The visibility is low due to air pollution. The road appears wet, likely from recent rain or mist. The sky is overcast.",0
train\Fog\foggy-016.jpg,The visibility is low due to fog. The road conditions are clear. The sky is obscured by fog.,0
train\Fog\foggy-017.jpg,"The traffic road shows low visibility, a cloudy sky, and a wet surface.",0
train\Fog\foggy-018.jpg,"The visibility is low due to fog. The air appears hazy, but the exact air quality cannot be determined. The road looks wet, likely from the mist. The sky is covered in fog, making it dark and gloomy.",0
train\Fog\foggy-019.jpg,"The visibility is low due to fog. The road is wet, reflecting the light. The sky is obscured by fog, making it dark.",0
train\Fog\foggy-020.jpg,"The traffic road has low visibility, the sky is overcast, and the road is wet.",0
train\Fog\foggy-041.jpg,"The traffic road has low visibility due to mist. The road appears wet, likely from rain or mist. The sky is overcast with no sunlight.",0
train\Fog\foggy-042.jpg,"The air quality is poor, visibility is low. The road is wet and reflective. The sky appears overcast.",0
train\Fog\foggy-043.jpg,"The traffic road appears wet, likely due to recent rain. Visibility is low, with distant vehicles and buildings appearing blurry. The sky looks overcast, without clear sunlight or blue skies. Overall, the weather feels damp and gloomy.",0
train\Fog\foggy-044.jpg,"The traffic road has low visibility due to fog. The sky is covered with fog, and the distant road signs and vehicles are blurred. The road condition is clear, with no visible wet or slippery areas.",0
train\Fog\foggy-045.jpg,"The traffic road has low visibility due to fog. The air appears moist, and the road looks smooth without visible wetness. The sky is obscured by fog, making it dark.",0
train\Fog\foggy-046.jpg,"The air quality is poor, visibility is extremely low, the road is slippery, and the sky is overcast.",0
train\Fog\foggy-047.jpg,The traffic road is obscured by low visibility due to dense fog.,0
train\Fog\foggy-048.jpg,"The traffic road has low visibility due to fog. The distant vehicles and traffic lights appear blurry. The road condition is good, with no visible wet or slippery areas. The sky appears hazy overall.",0
train\Fog\foggy-049.jpg,"The traffic road shows low visibility due to dense fog. The air appears hazy, and the road is clear with no visible damage. The sky is obscured by fog, creating a dimly lit scene.",0
train\Fog\foggy-050.jpg,"The traffic road shows poor air quality, low visibility, and wet conditions. The sky appears overcast.",0
train\Fog\foggy-051.jpg,"The traffic road shows poor air quality, low visibility, and wet conditions. The sky appears overcast.",0
train\Fog\foggy-053.jpg,"The visibility is low due to fog. The sky appears hazy, and the air seems slightly polluted. The road surface is smooth with no visible water or potholes.",0
train\Fog\foggy-055.jpg,"The visibility is low due to fog. The road appears wet, likely from moisture.",0
train\Fog\foggy-056.jpg,"The traffic road has low visibility due to fog. The air is hazy, and the sky appears misty. The road condition is good with no visible wetness.",0
train\Fog\foggy-057.jpg,"The visibility is low, the sky is hazy, and the road appears dry.",0
train\Fog\foggy-058.jpg,"The traffic road has low visibility due to fog. The air is hazy, and the distant vehicles and road signs are blurred. The road condition is good with no visible damage or water. The sky appears overcast.",0
train\Fog\foggy-059.jpg,"The traffic road shows low visibility, with a foggy sky. The distant vehicles are barely visible. The road appears smooth but details are unclear due to the fog. The weather is overcast.",0
train\Fog\foggy-060.jpg,"Visibility is low, and the road appears wet. The sky is overcast.",0
train\Fog\foggy-061.jpg,"The traffic road is shrouded in low visibility, with a dense fog covering the sky.",0
train\Fog\foggy-062.jpg,"The image shows a low visibility condition with a grayish sky. The road appears clear, with no visible wet or slippery areas.",0
train\Fog\foggy-063.jpg,"The visibility is low due to air pollution or mist. The road appears wet, likely from humidity. The sky is overcast with dim lighting.",0
train\Fog\foggy-064.jpg,"The traffic road has low visibility due to fog. The distant road signs and vehicles are blurred. The road condition is good, with no visible damage or water. The sky is obscured by fog.",0
train\Fog\foggy-065.jpg,"The traffic road has low visibility, the sky is hazy.",0
train\Fog\foggy-066.jpg,"The visibility is low, the sky is overcast, and the road is wet.",0
train\Fog\foggy-067.jpg,"The visibility is low, the sky is hazy. The road surface appears smooth and dry.",0
train\Fog\foggy-068.jpg,"The traffic road has low visibility due to fog. The air appears moist, and the road is clear with no visible wetness. The sky is covered by fog, making the light dim.",0
train\Fog\foggy-069.jpg,The traffic road has low visibility due to dense fog.,0
train\Fog\foggy-070.jpg,"The traffic road shows low visibility due to fog. The sky is overcast, and the road appears wet.",0
train\Fog\foggy-072.jpg,"The traffic road has low visibility due to fog. The road is wet, with possible standing water. The sky is obscured by the fog.",0
train\Fog\foggy-073.jpg,"The traffic road appears wet, likely due to recent rain. The sky is overcast, reducing visibility. There's a mist of water vapor on the road, making the scene somewhat hazy.",0
train\Fog\foggy-074.jpg,"The traffic road has low visibility, the sky is overcast, and the road surface is slippery.",0
train\Fog\foggy-075.jpg,"The traffic road is wet and slippery, with low visibility. The sky appears overcast.",0
train\Fog\foggy-076.jpg,"The visibility is low due to the dense fog. The road conditions are obscured, and the sky is not visible.",0
train\Fog\foggy-077.jpg,"The traffic road shows poor air quality, low visibility, wet road conditions, and a cloudy sky.",0
train\Fog\foggy-078.jpg,"The traffic road has low visibility due to fog. The wet road reflects the car lights, making driving difficult. The sky is overcast, with dim lighting.",0
train\Fog\foggy-079.jpg,"The traffic road appears blurry, indicating poor visibility. The road looks wet, suggesting damp conditions. The sky is overcast, creating a gloomy atmosphere.",0
train\Fog\foggy-080.jpg,"The traffic road appears hazy, with low visibility. The road looks wet, likely due to recent rain. The sky is overcast, giving a dim appearance.",0
train\Fog\foggy-081.jpg,"The traffic road has low visibility due to fog. The road is wet and slippery, with possible puddles. The sky is overcast, with dim lighting.",0
train\Fog\foggy-083.jpg,"The traffic road has low visibility due to fog. The air quality is poor, but the road condition is good with no visible wetness. The sky is obscured by fog.",0
train\Fog\foggy-084.jpg,"The traffic road has low visibility due to water droplets on the glass. The road is wet and slippery, with possible standing water. The sky is overcast, with dim lighting.",0
train\Fog\foggy-085.jpg,"The traffic road has low visibility due to fog. The distant vehicles and road signs are blurred. The road condition is good, with no visible damage or water. The sky is obscured by fog.",0
train\Fog\foggy-086.jpg,"The traffic road appears wet, reflecting vehicle lights and surrounding blurred images. Visibility is low due to the damp conditions. The sky is overcast, with dim lighting creating a gloomy atmosphere.",0
train\Fog\foggy-087.jpg,"The traffic road has low visibility, likely due to suspended particles in the air. The road appears wet, possibly from recent rain or fog. The sky is hazy with no visible sunlight.",0
train\Fog\foggy-088.jpg,"The traffic road appears wet, likely due to recent rain. Visibility is low, and the road seems slippery. The sky is overcast, with no clear blue sky or sunlight visible.",0
train\Fog\foggy-089.jpg,The visibility is low due to the presence of suspended particles in the air. The road surface appears smooth and clear. The sky is overcast with a grayish hue.,0
train\Fog\foggy-090.jpg,"The visibility is low, the sky is hazy. The road appears wet and slippery.",0
train\Fog\foggy-091.jpg,"The traffic road has low visibility due to foggy weather. The road is wet, with possible puddles. The sky is overcast.",0
train\Fog\foggy-092.jpg,The traffic road has low visibility due to fog. The road condition is good with no visible damage. The sky is obscured by fog.,0
train\Fog\foggy-093.jpg,"The traffic road has low visibility, likely due to fog or haze. The road surface appears smooth and dry. The sky is overcast, with dim lighting.",0
train\Fog\foggy-094.jpg,"The traffic road has low visibility, possibly due to a meteorological phenomenon. The sky appears hazy, and the road seems slightly slippery.",0
train\Fog\foggy-095.jpg,"The visibility is low, the sky is hazy. The road surface appears smooth and dry.",0
train\Fog\foggy-096.jpg,"The traffic road has low visibility, the sky is hazy. The road surface appears smooth and dry.",0
train\Fog\foggy-097.jpg,"The traffic road has low visibility, likely due to suspended particles or moisture. The road appears wet, possibly from recent rain. The sky is overcast, with dim lighting, creating a hazy atmosphere.",0
train\Fog\foggy-098.jpg,"The traffic road has low visibility due to fog. The air appears slightly hazy, but the exact air quality cannot be determined from the image. The road surface looks smooth with no visible water or potholes. The sky is covered by fog, making the light dim.",0
train\Fog\foggy-099.jpg,"The traffic road has low visibility due to fog. The road surface is wet, reflecting vehicle lights. The sky is overcast with no clear light penetration.",0
train\Fog\foggy-100.jpg,"The traffic road is wet and slippery, with low visibility. The sky appears overcast.",0
train\Fog\foggy-102.jpg,"The traffic road is wet, reducing visibility. The sky is overcast, with dim lighting.",0
train\Fog\foggy-103.jpg,"The traffic road is wet, with reflective red lights. Visibility is low, and the sky is overcast.",0
train\Fog\foggy-104.jpg,"The traffic road shows low visibility due to fog. The wet road reflects vehicle taillights, indicating possible rain or damp conditions. The sky appears hazy, with no clear clouds or sunlight visible.",0
